provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,cluster,kategori_kesejahteraan
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,MARET,129321.0,2303403.0,587371.0,14061.000000000002,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,139706.0,2303403.0,587371.0,14061.000000000002,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,MARET,141299.0,2499423.0,639799.0,15948.999999999998,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,141850.0,2499423.0,639799.0,15948.999999999998,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,MARET,97785.0,2303403.0,369051.0,14061.000000000002,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,103166.00000000001,2303403.0,369051.0,14061.000000000002,0,Rendah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,MARET,108061.0,2499423.0,390593.0,15948.999999999998,0,Menengah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,108090.99999999999,2499423.0,390593.0,15948.999999999998,0,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,MARET,145089.0,2499423.0,657135.0,15486.0,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,147124.0,2499423.0,657135.0,15486.0,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022,MARET,151633.0,2522610.0,668871.0,15131.0,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,157137.0,2522610.0,668871.0,15131.0,2,Menengah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021,MARET,112706.0,2499423.0,383019.0,15486.0,0,Menengah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,114016.00000000001,2499423.0,383019.0,15486.0,0,Menengah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022,MARET,118883.0,2522610.0,404273.0,15131.0,0,Menengah
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,125685.0,2522610.0,404273.0,15131.0,0,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2015,MARET,288410.0,1615000.0,509609.0,11241.0,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2015,SEPTEMBER,301356.0,1615000.0,509609.0,11241.0,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2016,MARET,312154.0,1800725.0,583696.0,13206.000000000002,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2016,SEPTEMBER,322168.0,1800725.0,583696.0,13206.000000000002,1,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2015,MARET,293768.0,1615000.0,447944.0,11241.0,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2015,SEPTEMBER,313294.0,1615000.0,447944.0,11241.0,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2016,MARET,332415.00000000006,1800725.0,505042.0,13206.000000000002,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2016,SEPTEMBER,341816.0,1800725.0,505042.0,13206.000000000002,3,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2017,MARET,337132.00000000006,1949284.0,639600.0,14378.0,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2017,SEPTEMBER,339340.0,1949284.0,639600.0,14378.0,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2018,MARET,356907.0,2119067.0,663365.0,14431.000000000002,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2018,SEPTEMBER,367319.0,2119067.0,663365.0,14431.000000000002,1,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2017,MARET,352878.0,1949284.0,544680.0,14378.0,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2017,SEPTEMBER,354771.0,1949284.0,544680.0,14378.0,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2018,MARET,369087.0,2119067.0,558782.9999999999,14431.000000000002,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2018,SEPTEMBER,370529.0,2119067.0,558782.9999999999,14431.000000000002,3,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2019,MARET,382490.0,2289220.0,663548.0,15210.0,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2019,SEPTEMBER,402124.0,2289220.0,663548.0,15210.0,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2020,MARET,411369.0,2484041.0,698666.9999999999,17571.0,1,Tinggi
SUMATERA BARAT,MAKANAN,PERKOTAAN,2020,SEPTEMBER,413073.0,2484041.0,698666.9999999999,17571.0,1,Tinggi
SUMATERA BARAT,MAKANAN,PERDESAAN,2019,MARET,382217.0,2289220.0,561206.0,15210.0,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2019,SEPTEMBER,401904.0,2289220.0,561206.0,15210.0,3,Menengah
